净值数据,年收益率,年波动率,占比,月收益率,月波动率
1.7021,16.0786,15.862,0.011907495860638523,0.012502288411598839,0.04716170410328395
2.629,17.1403,17.1579,0.006317002070914575,0.013270800327113808,0.05390783718760735
1.7883,16.4004,17.0231,0.012181827205450496,0.012735901649394199,0.04269034240030701
0.8303,16.3168,17.4025,0.007206545897916133,0.012675268550128349,0.0505404434403363
1.8577,14.6626,16.2434,0.0022592954754362196,0.011467226705691447,0.04642890297994665
2.16,13.4133,9.1759,0.08603776912244818,0.010544243019767086,0.023429794143293242
2.655,28.9688,18.0956,0.042690329394015895,0.021426344448441048,0.05771629921921307
3.9313,32.1122,18.4915,0.10552854878302312,0.023478153806673063,0.06286887199880242
0.6124,21.2174,15.0047,0.06039102524756005,0.016163864534015637,0.04627104780269743
4.024,31.1795,17.9623,0.07720538823750253,0.022874058096959304,0.05668424733195235
1.6343,10.8846,12.132797845129,0.014740308604542295,0.008647158780329844,0.04200491951366413
3.6831,27.5881,22.0993,0.012577372601143966,0.020510586141273324,0.054100372059976726
1.204,24.05,21.7124,0.20641832170302177,0.018121786094945858,0.05203169035394459
1.5137,8.1932,1.3593,0.010493920814153436,0.006583940458218418,0.005229393883711066
1.0781,5.4109,0.8816,0.008001689823146297,0.0044009776764390995,0.01720099199722046
1.2337,5.6328,1.3321,0.08464665132824319,0.004577004559890296,0.012889036104824926
1.33,5.755,1.3472,0.016603090415790764,0.004673797624259679,0.005308733240416673
1.0437,5.5169,1.1162,0.12049254481607173,0.004485106757081692,0.01263469221469454
1.149,4.9631,1.2346,0.018384044428410008,0.004044714018363926,0.013996874665908736
1.001,4.8116,1.4218,0.007387343548423033,0.003923867187385133,0.009075811387540792
1.0372,4.311,0.8954,0.025026540273588853,0.003523412297004036,0.013540978440553499
1.026,4.6089,1.1501,0.03479575140317599,0.0037619290306236675,0.01968974018414185
1.3133,4.9181,1.1762,0.028707192945383025,0.004008835621795992,0.003826957651769524
